quaternionTimestamp,quaternionX,quaternionY,quaternionZ,quaternionW,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ,insTimeStamp,insStatus,yaw,pitch,roll,latitude,longitude,altitude,nedVelX,nedVelY,nedVelZ
2556192,-0.0053300024,-0.00628453912,0.653013766,0.757301211,2556192,0.0782943964,-0.229649425,0.317896932,2556192,-0.0397970751,0.143194944,-9.60362816,2556192,0.00103165652,-0.000538889435,-0.000915210461,2556192,49280,81.5429764,-0.146531105,-0.932854831,0,0,0,0,0,0
2608843,-0.00530869886,-0.00629468681,0.653015852,0.757299542,2608843,0.0808354616,-0.232072234,0.320734054,2608843,-0.0209412798,0.164927766,-9.57923508,2608843,0.000708898995,-0.00134547346,0.000648645218,2608843,30848,81.5432968,-0.149003431,-0.931765735,0,0,0,0,0,0
2661236,-0.00531500578,-0.00627633324,0.653009593,0.757304966,2661236,0.0832527503,-0.230722383,0.323608547,2661236,-0.0191925298,0.173053443,-9.63634014,2661236,0.00136907212,-0.000586013542,-0.00105957966,2661236,39040,81.5423355,-0.146946475,-0.930938303,0,0,0,0,0,0
2713713,-0.00530643715,-0.0062726615,0.652992785,0.75731957,2713713,0.0794717297,-0.228348985,0.317961693,2713713,-0.0439545102,0.14929381,-9.58933258,2713713,-0.000214869622,0.000434205984,-0.000159416348,2713713,128,81.5397797,-0.147289708,-0.92991668,0,0,0,0,0,0
2766280,-0.00528632244,-0.00628987048,0.653007865,0.757306635,2766280,0.0831703544,-0.228207633,0.323633999,2766280,-0.0352873802,0.149000943,-9.58739471,2766280,-0.000101008452,-0.00115353661,-0.000416053925,2766280,32896,81.5420761,-0.150269851,-0.929461777,0,0,0,0,0,0
2819141,-0.00528128678,-0.0062998049,0.653012156,0.75730288,2819141,0.0819720551,-0.229515985,0.32081306,2819141,-0.0245913304,0.15987432,-9.61234665,2819141,0.000398827018,-0.00121789146,0.000308223069,2819141,128,81.5427399,-0.151503503,-0.929769039,0,0,0,0,0,0
2871247,-0.00528350286,-0.00628205994,0.653005183,0.75730902,2871247,0.0807122886,-0.228302076,0.320774168,2871247,-0.0258351024,0.144041747,-9.59062195,2871247,0.000623924891,-0.000292645302,0.000492504798,2871247,32896,81.5416641,-0.14980638,-0.928632021,0,0,0,0,0,0
2923621,-0.00528620183,-0.00628531817,0.652997851,0.757315278,2923621,0.0808057711,-0.230815321,0.322129041,2923621,0.011641046,0.164146438,-9.61003113,2923621,0.000437475974,0.000211285776,-0.00028198678,2923621,128,81.5405655,-0.149896115,-0.929108739,0,0,0,0,0,0
2976186,-0.0052841045,-0.0062958044,0.653001726,0.757311821,2976186,0.0831491575,-0.228215218,0.320877343,2976186,-0.0482165813,0.14713195,-9.60746574,2976186,0.000620621024,-0.00138840068,-0.000152022112,2976186,32896,81.5411606,-0.150958255,-0.929712176,0,0,0,0,0,0
3028823,-0.0052881944,-0.00630928064,0.65299958,0.757313609,3028823,0.0771075413,-0.230958685,0.316458255,3028823,-0.0104993908,0.135838717,-9.56797218,3028823,0.000133807305,0.000201931223,0.000420647673,3028823,128,81.5408554,-0.151824251,-0.931075335,0,0,0,0,0,0
3081161,-0.00526631949,-0.00630729971,0.653006434,0.757307827,3081161,0.0794725269,-0.22835277,0.317965031,3081161,-0.00781570375,0.163033634,-9.57112312,3081161,-9.42507759e-05,-0.00020318618,0.000679326709,3081161,32896,81.541893,-0.153280914,-0.929029882,0,0,0,0,0,0
3133710,-0.00527268415,-0.00629671244,0.653023064,0.757293582,3133710,0.0794726014,-0.228352979,0.317965299,3133710,0.000561864115,0.155601218,-9.63507271,3133710,0.00118485,0.000364034553,-0.000161207281,3133710,128,81.5443878,-0.151865587,-0.928793311,0,0,0,0,0,0
3186190,-0.00526755536,-0.00629489031,0.653036773,0.75728178,3186190,0.0782344788,-0.227132648,0.320684642,3186190,-0.0268783234,0.147131652,-9.57924461,3186190,8.90663359e-05,0.00130558375,3.05050053e-05,3186190,32896,81.5464554,-0.152074426,-0.92821455,0,0,0,0,0,0
3238650,-0.00526741287,-0.00628053444,0.653039753,0.757279277,3238650,0.0819209814,-0.228264704,0.319448858,3238650,-0.0238785408,0.160342008,-9.63160706,3238650,0.000151212327,-0.000319714192,0.000120189972,3238650,128,81.5468979,-0.150835738,-0.927128434,0,0,0,0,0,0
3291224,-0.00526035624,-0.00628424995,0.653025448,0.757291675,3291224,0.0818582028,-0.227013528,0.316703111,3291224,-0.0232555922,0.164223149,-9.62209511,3291224,-0.000936398981,0.00069864362,-6.21513464e-05,3291224,32896,81.5447388,-0.15170379,-0.926791191,0,0,0,0,0,0
3343921,-0.00527425762,-0.00626954297,0.653036594,0.757282138,3343921,0.0757983774,-0.22722137,0.320582926,3343921,-0.0170225911,0.158064663,-9.56906033,3343921,0.000139559153,-9.28121153e-06,0.00146878604,3343921,128,81.5463943,-0.14937368,-0.926899195,0,0,0,0,0,0
3396210,-0.00526629854,-0.00626146235,0.6530388,0.75728035,3396210,0.0806702822,-0.228317752,0.315259993,3396210,0.00350034982,0.181561351,-9.62630749,3396210,0.000886396971,0.000713812653,0.000655298121,3396210,32896,81.5467148,-0.149265409,-0.925604045,0,0,0,0,0,0
3448652,-0.00527447183,-0.00627053017,0.653042614,0.757276893,3448652,0.0807962865,-0.230822593,0.320753157,3448652,-0.0498269722,0.146412194,-9.64791107,3448652,-0.00138395489,0.000123630976,-0.000572199468,3448652,128,81.5473099,-0.149435878,-0.926992774,0,0,0,0,0,0
3501316,-0.0052657933,-0.0062699765,0.653039277,0.757279754,3501316,0.0819736123,-0.22952199,0.320818245,3501316,-0.0374832228,0.172568232,-9.55720711,3501316,0.000637237681,5.57685271e-05,-5.74798323e-05,3501316,32896,81.546814,-0.150041327,-0.926197708,0,0,0,0,0,0
3553619,-0.0052575022,-0.00626158342,0.653035402,0.75728333,3553619,0.0794847608,-0.228354231,0.319348693,3553619,-0.010245529,0.161982611,-9.62483883,3553619,0.00118673686,-0.00068019802,-0.00142083596,3553619,128,81.5462036,-0.149938345,-0.924849093,0,0,0,0,0,0
3606280,-0.00524925115,-0.00626420137,0.653015196,0.757300675,3606280,0.0832748339,-0.231995225,0.320845842,3606280,-0.0484311804,0.142496765,-9.59872055,3606280,2.5536865e-06,-0.000964477193,-0.000645736,3606280,32896,81.5431595,-0.150807589,-0.924325168,0,0,0,0,0,0
3658840,-0.00524280546,-0.00627156626,0.653011322,0.757304013,3658840,0.0807966441,-0.230823994,0.320755005,3658840,-0.039100945,0.135981783,-9.56458282,3658840,0.000408414053,-0.000468532438,-0.000629917718,3658840,128,81.5425797,-0.151933804,-0.924316108,0,0,0,0,0,0
3711317,-0.00525284186,-0.00626097992,0.653021634,0.757295132,3711317,0.079454042,-0.22709243,0.320739448,3711317,0.0152756823,0.167416632,-9.63013077,3711317,-0.000776530476,-7.21379183e-06,-0.00057387352,3711317,32896,81.5441284,-0.150251523,-0.924396873,0,0,0,0,0,0
3763797,-0.00523618516,-0.00624427618,0.653023899,0.757293463,3763797,0.0807659775,-0.229562357,0.322146028,3763797,-0.0442408212,0.145267934,-9.63495255,3763797,0.000383463921,-0.0011765362,-0.000844022492,3763797,128,81.5444489,-0.150045812,-0.921701729,0,0,0,0,0,0
3816265,-0.0052488423,-0.00622451259,0.653026879,0.757291019,3816265,0.0807032958,-0.228311434,0.319400489,3816265,6.85389386e-05,0.179966599,-9.61536407,3816265,0.000114323571,0.000821428024,-0.00112267653,3816265,32896,81.5448685,-0.147380084,-0.92132163,0,0,0,0,0,0
3868928,-0.00523512857,-0.00622468628,0.653021038,0.757296085,3868928,0.0794957057,-0.228352025,0.3207286,3868928,-0.0269503333,0.14356792,-9.62392139,3868928,-6.09925482e-05,-0.000896096579,0.000287110917,3868928,128,81.5439835,-0.148428485,-0.920143425,0,0,0,0,0,0
3921327,-0.0052451957,-0.00622410886,0.653035998,0.757283211,3921327,0.0843389183,-0.226917252,0.322326094,3921327,-0.0372079462,0.161482185,-9.59637737,3921327,-0.00137896813,0.000711148605,-7.49356113e-05,3921327,32896,81.5462418,-0.147606894,-0.920976698,0,0,0,0,0,0
3973703,-0.00524106948,-0.00622082036,0.65305382,0.757267892,3973703,0.0757468641,-0.225968972,0.319218874,3973703,-0.039816808,0.160792261,-9.58054543,3973703,0.00027000648,2.77592335e-06,0.00037429668,3973703,128,81.5489273,-0.147608653,-0.920375824,0,0,0,0,0,0
4026096,-0.00525220716,-0.00621693581,0.653050363,0.757270813,4026096,0.0830987245,-0.226966083,0.319515407,4026096,-0.010311652,0.164736301,-9.63570595,4026096,-0.000257040141,0.000492666732,0.000190159772,4026096,32896,81.5484009,-0.146442235,-0.921051145,0,0,0,0,0,0
4078731,-0.00524494471,-0.00622722693,0.653030992,0.757287502,4078731,0.0818158984,-0.227029845,0.311189592,4078731,0.00379313994,0.155057341,-9.60725784,4078731,-0.000547653064,0.000255463528,0.000948143657,4078731,128,81.5454865,-0.147902295,-0.921187162,0,0,0,0,0,0
4131235,-0.0052546924,-0.00622453308,0.653035045,0.757283866,4131235,0.0820161551,-0.230783999,0.320809007,4131235,-0.00356998574,0.153147578,-9.59284019,4131235,-0.00155223033,0.00105731457,0.000165727455,4131235,32896,81.5461044,-0.146934032,-0.921832383,0,0,0,0,0,0
4183619,-0.00525606191,-0.00622716732,0.653042376,0.757277489,4183619,0.0796100125,-0.23213245,0.319315761,4183619,-0.0404208824,0.203225076,-9.60870647,4183619,-0.000223453389,-0.000583424931,2.96300277e-06,4183619,128,81.5472183,-0.147051185,-0.922149777,0,0,0,0,0,0
4236237,-0.00525706029,-0.00622601667,0.653052568,0.757268727,4236237,0.0794753432,-0.228361756,0.317973644,4236237,-0.0227755327,0.143167078,-9.57224369,4236237,-6.86568674e-05,0.000992354238,0.000445712823,4236237,49280,81.5487595,-0.146864265,-0.92215234,0,0,0,0,0,0
4288706,-0.00525038643,-0.00622936105,0.653055906,0.757265925,4288706,0.078309238,-0.229660898,0.319289953,4288706,-0.00573577639,0.16682449,-9.60238647,4288706,7.69249164e-06,-0.00133326137,0.000239046291,4288706,30848,81.549263,-0.147649899,-0.921824038,0,0,0,0,0,0
4341220,-0.00527105248,-0.00622818107,0.653091848,0.757234812,4341220,0.080683291,-0.228322595,0.316646904,4341220,-0.0330249108,0.151683584,-9.64122772,4341220,-0.000579611398,-0.000561502646,0.000523973722,4341220,39040,81.5547028,-0.145957053,-0.923536003,0,0,0,0,0,0
4393968,-0.00528247328,-0.00622591376,0.653104842,0.757223547,4393968,0.0782574266,-0.228407875,0.317924052,4393968,-0.0114450585,0.151633561,-9.55640125,4393968,0.000962654362,-1.99549831e-05,0.000376148615,4393968,128,81.5566635,-0.144889683,-0.924359858,0,0,0,0,0,0
4446177,-0.00529535906,-0.00621681428,0.653110862,0.757218361,4446177,0.0831007957,-0.226973355,0.319521904,4446177,-0.0177650806,0.16919443,-9.59127617,4446177,0.000489277067,-3.92262591e-05,-0.00134432735,4446177,32896,81.5575638,-0.14312835,-0.924798191,0,0,0,0,0,0
4498822,-0.0053018895,-0.00622004084,0.653102875,0.757225156,4498822,0.0806228966,-0.22580345,0.319432884,4498822,-0.0418371707,0.167316824,-9.6304388,4498822,0.000162049662,-0.000730999047,0.0002626325,4498822,128,81.5563507,-0.142929316,-0.925604761,0,0,0,0,0,0
4551230,-0.00532323634,-0.0062023676,0.653107762,0.757220924,4551230,0.083090432,-0.226977989,0.318144679,4551230,-0.0120751094,0.17020002,-9.59558392,4551230,-0.00115445256,-0.000450901221,-0.000583984889,4551230,32896,81.5570755,-0.139792144,-0.926135302,0,0,0,0,0,0
4603780,-0.0053022881,-0.00620879186,0.653098583,0.757228911,4603780,0.0782598481,-0.227140218,0.323456168,4603780,-0.0366894901,0.190140992,-9.63624763,4603780,0.000710082706,-0.000313562341,-0.000694043469,4603780,128,81.5557022,-0.141928613,-0.9247967,0,0,0,0,0,0
4656277,-0.00530745555,-0.00620568963,0.653099775,0.757227898,4656277,0.0795917064,-0.230875015,0.322092503,4656277,-0.0446851812,0.17654115,-9.61321831,4656277,0.000845914474,-0.00204431615,-0.000261743553,4656277,32896,81.5558701,-0.141271263,-0.925013125,0,0,0,0,0,0
4708789,-0.0053250934,-0.00618246989,0.653085291,0.757240474,4708789,0.0807582662,-0.229577407,0.320777655,4708789,0.00604348071,0.147766799,-9.57577324,4708789,0.00139610679,-0.000107619329,5.11677936e-05,4708789,128,81.5536423,-0.137954205,-0.924802959,0,0,0,0,0,0
